"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"JOURNAL OF POPULATION ECONOMICS","0933-1433","1432-1475","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Economics | Demography"
"JOURNAL OF PORTFOLIO MANAGEMENT","0095-4918","2168-8656","PAGEANT MEDIA LTD","ONE LONDON WALL, LONDON, England, EC2Y 5EA","English","Business, Finance"
"JOURNAL OF POSITIVE BEHAVIOR INTERVENTIONS","1098-3007","1538-4772","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Psychology, Clinical | Education, Special"
"JOURNAL OF POSITIVE PSYCHOLOGY","1743-9760","1743-9779","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology, Multidisciplinary"
"JOURNAL OF POST KEYNESIAN ECONOMICS","0160-3477","1557-7821","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Economics"
"JOURNAL OF POVERTY AND SOCIAL JUSTICE","1759-8273","1759-8281","POLICY PRESS","UNIV BRISTOL, 1-9 OLD PARK HILL, BRISTOL, ENGLAND, BS2 8BB","English","Social Issues | Social Sciences, Interdisciplinary"
"JOURNAL OF PRAGMATICS","0378-2166","1879-1387","ELSEVIER","RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX","Multi-Language","Linguistics"
"JOURNAL OF PRIMARY PREVENTION","0278-095X","1573-6547","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Public, Environmental & Occupational Health"
"JOURNAL OF PRODUCT AND BRAND MANAGEMENT","1061-0421","2054-1643","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Business | Management"
"JOURNAL OF PRODUCT INNOVATION MANAGEMENT","0737-6782","1540-5885","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Business | Management"
"JOURNAL OF PRODUCTIVITY ANALYSIS","0895-562X","1573-0441","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Business | Economics | Social Sciences, Mathematical Methods"
"JOURNAL OF PROFESSIONAL CAPITAL AND COMMUNITY","2056-9548","2056-9556","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Education & Educational Research"
"JOURNAL OF PROFESSIONAL NURSING","8755-7223","1532-8481","W B SAUNDERS CO-ELSEVIER INC","1600 JOHN F KENNEDY BOULEVARD, STE 1800, PHILADELPHIA, USA, PA, 19103-2899","English","Nursing"
"JOURNAL OF PSYCHIATRIC AND MENTAL HEALTH NURSING","1351-0126","1365-2850","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Nursing | Psychiatry"
"JOURNAL OF PSYCHIATRIC RESEARCH","0022-3956","1879-1379","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Psychiatry"
"JOURNAL OF PSYCHIATRY & NEUROSCIENCE","1180-4882","1488-2434","CMA-CANADIAN MEDICAL ASSOC","1867 ALTA VISTA DR, OTTAWA, CANADA, ONTARIO, K1G 5W8","Multi-Language","Psychiatry"
"JOURNAL OF PSYCHOACTIVE DRUGS","0279-1072","2159-9777","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology, Clinical | Substance Abuse"
"JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT","0734-2829","1557-5144","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Psychology, Educational"
"JOURNAL OF PSYCHOLINGUISTIC RESEARCH","0090-6905","1573-6555","SPRINGER/PLENUM PUBLISHERS","233 SPRING ST, NEW YORK, USA, NY, 10013","English","Linguistics | Psychology, Experimental"
"JOURNAL OF PSYCHOLOGISTS AND COUNSELLORS IN SCHOOLS","2055-6365","2055-6373","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Education & Educational Research | Social Work"
"JOURNAL OF PSYCHOLOGY","0022-3980","1940-1019","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology, Multidisciplinary"
"JOURNAL OF PSYCHOLOGY AND THEOLOGY","0091-6471","2328-1162","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Psychology, Multidisciplinary"
"JOURNAL OF PSYCHOLOGY IN AFRICA","1433-0237","1815-5626","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology, Multidisciplinary"
"JOURNAL OF PSYCHOPATHOLOGY AND BEHAVIORAL ASSESSMENT","0882-2689","1573-3505","SPRINGER/PLENUM PUBLISHERS","233 SPRING ST, NEW YORK, USA, NY, 10013","English","Psychology, Clinical"
"JOURNAL OF PSYCHOPHYSIOLOGY","0269-8803","2151-2124","HOGREFE PUBLISHING CORP","361 NEWBURY ST, 5 FL, BOSTON, United States, MA, 02115","English","Psychology, Biological"
"JOURNAL OF PSYCHOSOCIAL NURSING AND MENTAL HEALTH SERVICES","0279-3695","1938-2413","SLACK INC","6900 GROVE RD, THOROFARE, USA, NJ, 08086","English","Nursing"
"JOURNAL OF PSYCHOSOCIAL ONCOLOGY","0734-7332","1540-7586","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology, Social"
"JOURNAL OF PSYCHOSOMATIC OBSTETRICS & GYNECOLOGY","0167-482X","1743-8942","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","English","Psychology, Clinical"
"JOURNAL OF PSYCHOSOMATIC RESEARCH","0022-3999","1879-1360","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Psychiatry"
"JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY","1053-1858","1477-9803","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Political Science | Public Administration"
"JOURNAL OF PUBLIC CHILD WELFARE","1554-8732","1554-8740","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Social Work"
"JOURNAL OF PUBLIC ECONOMICS","0047-2727","0047-2727","ELSEVIER SCIENCE SA","PO BOX 564, LAUSANNE, SWITZERLAND, 1001","English","Economics"
"JOURNAL OF PUBLIC ECONOMIC THEORY","1097-3923","1467-9779","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Economics"
"JOURNAL OF PUBLIC HEALTH","1741-3842","1741-3850","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Public, Environmental & Occupational Health"
"JOURNAL OF PUBLIC HEALTH MANAGEMENT AND PRACTICE","1078-4659","1550-5022","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","English","Public, Environmental & Occupational Health"
"JOURNAL OF PUBLIC HEALTH POLICY","0197-5897","1745-655X","PALGRAVE MACMILLAN LTD","BRUNEL RD BLDG, HOUNDMILLS, BASINGSTOKE, ENGLAND, HANTS, RG21 6XS","English","Public, Environmental & Occupational Health | Health Policy & Services"
"JOURNAL OF PUBLIC POLICY","0143-814X","1469-7815","CAMBRIDGE UNIV PRESS","EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU","English","Political Science | Public Administration"
"JOURNAL OF PUBLIC POLICY & MARKETING","0743-9156","1547-7207","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Business"
"JOURNAL OF PUBLIC RELATIONS RESEARCH","1062-726X","1532-754X","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Communication"
"JOURNAL OF PUBLIC TRANSPORTATION","1077-291X","2375-0901","CENTER URBAN TRANSPORTATION RESEARCH","UNIV SOUTH FLORIDA,  COLLEGE ENGINEERING, 4202 EAST FOWLER AVE, CUT100, TAMPA, USA, FL, 33620-5375","English","Transportation"
"JOURNAL OF PURCHASING AND SUPPLY MANAGEMENT","1478-4092","1873-6505","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB","English","Management"
"JOURNAL OF QUANTITATIVE CRIMINOLOGY","0748-4518","1573-7799","SPRINGER/PLENUM PUBLISHERS","233 SPRING ST, NEW YORK, USA, NY, 10013","English","Criminology & Penology"
"JOURNAL OF QUANTITATIVE LINGUISTICS","0929-6174","1744-5035","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Linguistics"
"JOURNAL OF RACIAL AND ETHNIC HEALTH DISPARITIES","2197-3792","2196-8837","SPRINGER INT PUBL AG","GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330","English","Public, Environmental & Occupational Health"
"JOURNAL OF RATIONAL-EMOTIVE AND COGNITIVE-BEHAVIOR THERAPY","0894-9085","1573-6563","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Psychology, Clinical"
"JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS","0895-5638","1573-045X","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Urban Studies | Economics | Business, Finance"
"JOURNAL OF REAL ESTATE RESEARCH","0896-5803","2691-1175","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","English","Economics | Business, Finance"
"JOURNAL OF REFUGEE STUDIES","0951-6328","1471-6925","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Demography | Ethnic Studies"
"JOURNAL OF REGIONAL SCIENCE","0022-4146","1467-9787","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Regional & Urban Planning | Environmental Studies | Economics"
"JOURNAL OF REGULATORY ECONOMICS","0922-680X","1573-0468","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Economics"
"JOURNAL OF REHABILITATION","0022-4154","1607-2960","NATL REHABILITATION ASSOC-NRA","633 S WASHINGTON ST, ALEXANDRIA, USA, VA, 22314-4109","English","Rehabilitation"
"JOURNAL OF RELIGION & HEALTH","0022-4197","1573-6571","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Public, Environmental & Occupational Health"
"JOURNAL OF RENAL CARE","1755-6678","1755-6686","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Nursing"
"JOURNAL OF REPRODUCTIVE AND INFANT PSYCHOLOGY","0264-6838","1469-672X","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology, Multidisciplinary"
"JOURNAL OF RESEARCH IN CRIME AND DELINQUENCY","0022-4278","1552-731X","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Criminology & Penology"
"JOURNAL OF RESEARCH IN INTERACTIVE MARKETING","2040-7122","2040-7130","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Business"
"JOURNAL OF RESEARCH IN MUSIC EDUCATION","0022-4294","1945-0095","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Education & Educational Research"
"JOURNAL OF RESEARCH IN PERSONALITY","0092-6566","1095-7251","ACADEMIC PRESS INC ELSEVIER SCIENCE","525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495","English","Psychology, Social"
"JOURNAL OF RESEARCH IN READING","0141-0423","1467-9817","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Psychology, Educational | Education & Educational Research"
"JOURNAL OF RESEARCH IN SCIENCE TEACHING","0022-4308","1098-2736","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Education & Educational Research"
"JOURNAL OF RESEARCH ON ADOLESCENCE","1050-8392","1532-7795","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Psychology, Development | Family Studies"
"JOURNAL OF RESEARCH ON EDUCATIONAL EFFECTIVENESS","1934-5747","1934-5739","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Education & Educational Research"
"JOURNAL OF RESEARCH ON TECHNOLOGY IN EDUCATION","1539-1523","1945-0818","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Education & Educational Research"
"JOURNAL OF RESPONSIBLE INNOVATION","2329-9460","2329-9037","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Management | History & Philosophy Of Science | Social Issues | Ethics"
"JOURNAL OF RETAILING","0022-4359","1873-3271","ELSEVIER SCIENCE INC","STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169","English","Business"
"JOURNAL OF RETAILING AND CONSUMER SERVICES","0969-6989","1873-1384","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB","English","Business"
"JOURNAL OF RISK","1465-1211","1755-2842","INCISIVE MEDIA","HAYMARKET HOUSE, 28-29 HAYMARKET, LONDON, ENGLAND, SW1Y 4RX","English","Business, Finance"
"JOURNAL OF RISK AND INSURANCE","0022-4367","1539-6975","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Economics | Business, Finance"
"JOURNAL OF RISK AND UNCERTAINTY","0895-5646","1573-0476","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Economics | Business, Finance"
"JOURNAL OF RISK MODEL VALIDATION","1753-9579","1753-9587","INCISIVE MEDIA","HAYMARKET HOUSE, 28-29 HAYMARKET, LONDON, ENGLAND, SW1Y 4RX","English","Business, Finance"
"JOURNAL OF RISK RESEARCH","1366-9877","1466-4461","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Social Sciences, Interdisciplinary"
"JOURNAL OF RURAL HEALTH","0890-765X","1748-0361","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Public, Environmental & Occupational Health | Health Policy & Services"
"JOURNAL OF RURAL STUDIES","0743-0167","1873-1392","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Regional & Urban Planning | Geography"
"JOURNAL OF SAFETY RESEARCH","0022-4375","1879-1247","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Transportation | Social Sciences, Interdisciplinary | Ergonomics | Public, Environmental & Occupational Health"
"JOURNAL OF SCHOLARLY PUBLISHING","1198-9742","1710-1166","UNIV TORONTO PRESS INC","JOURNALS DIVISION, 5201 DUFFERIN ST, DOWNSVIEW, TORONTO, CANADA, ON, M3H 5T8","English","Information Science & Library Science"
"JOURNAL OF SCHOOL HEALTH","0022-4391","1746-1561","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Public, Environmental & Occupational Health | Education & Educational Research"
"JOURNAL OF SCHOOL NURSING","1059-8405","1546-8364","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Nursing"
"JOURNAL OF SCHOOL PSYCHOLOGY","0022-4405","1873-3506","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Psychology, Educational"
"JOURNAL OF SCHOOL VIOLENCE","1538-8220","1538-8239","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Education & Educational Research | Psychology, Educational | Psychology, Development | Criminology & Penology"
"JOURNAL OF SCIENCE EDUCATION AND TECHNOLOGY","1059-0145","1573-1839","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Education & Educational Research"
"JOURNAL OF SECOND LANGUAGE WRITING","1060-3743","1873-1422","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Linguistics"
"JOURNAL OF SEMANTICS","0167-5133","1477-4593","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Linguistics"
"JOURNAL OF SERVICE MANAGEMENT","1757-5818","1757-5826","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Management"
"JOURNAL OF SERVICE RESEARCH","1094-6705","1552-7379","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Business"
"JOURNAL OF SERVICES MARKETING","0887-6045","0887-6045","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Business"
"JOURNAL OF SERVICE THEORY AND PRACTICE","2055-6225","2055-6225","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Business | Management"
"JOURNAL OF SEX & MARITAL THERAPY","0092-623X","1521-0715","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology, Clinical | Family Studies"
"JOURNAL OF SEX RESEARCH","0022-4499","1559-8519","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology, Clinical | Social Sciences, Interdisciplinary"
"JOURNAL OF SEXUAL AGGRESSION","1355-2600","1742-6545","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Criminology & Penology"
"JOURNAL OF SMALL BUSINESS MANAGEMENT","0047-2778","1540-627X","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106","English","Management"
"JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY","0736-7236","1943-2771","GUILFORD PUBLICATIONS INC","370 SEVENTH AVE, SUITE 1200, NEW YORK, USA, NY, 10001-1020","English","Psychology, Clinical | Psychology, Social"
"JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS","0265-4075","1460-3608","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Communication | Family Studies | Psychology, Social"
"JOURNAL OF SOCIAL ARCHAEOLOGY","1469-6053","1741-2951","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Anthropology"
"JOURNAL OF SOCIAL HISTORY","0022-4529","1527-1897","OXFORD UNIV PRESS INC","JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513","English","History"
"JOURNAL OF SOCIAL ISSUES","0022-4537","1540-4560","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Social Issues | Psychology, Social"
"JOURNAL OF SOCIAL MARKETING","2042-6763","2042-6771","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Business"
"JOURNAL OF SOCIAL PHILOSOPHY","0047-2786","1467-9833","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Social Issues | Ethics"
"JOURNAL OF SOCIAL POLICY","0047-2794","1469-7823","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Social Issues | Social Work | Public Administration"
"JOURNAL OF SOCIAL PSYCHOLOGY","0022-4545","1940-1183","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Psychology, Social"
"JOURNAL OF SOCIAL SERVICE RESEARCH","0148-8376","1540-7314","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Social Work"
"JOURNAL OF SOCIAL WORK","1468-0173","1741-296X","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Social Work"
"JOURNAL OF SOCIAL WORK EDUCATION","1043-7797","2163-5811","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Education & Educational Research | Social Work"
"JOURNAL OF SOCIAL WORK PRACTICE","0265-0533","1465-3885","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Social Work"
"JOURNAL OF SOCIOLINGUISTICS","1360-6441","1467-9841","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Linguistics"
"JOURNAL OF SOCIOLOGY","1440-7833","1741-2978","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Sociology"
"JOURNAL OF SOUTH ASIAN DEVELOPMENT","0973-1741","0973-1733","SAGE PUBLICATIONS INDIA  PVT LTD","B-1-I-1 MOHAN CO-OPERATIVE INDUSTRIAL AREA, MATHURA RD, POST BAG NO 7, NEW DELHI, INDIA, 110 044","English","Development Studies"
"JOURNAL OF SOUTHEAST ASIAN STUDIES","0022-4634","1474-0680","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Area Studies"
"JOURNAL OF SOUTHERN AFRICAN STUDIES","0305-7070","1465-3893","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","Multi-Language","Area Studies"
"JOURNAL OF SPANISH CULTURAL STUDIES","1463-6204","1469-9818","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","Multi-Language","Cultural Studies"
"JOURNAL OF SPECIAL EDUCATION","0022-4669","1538-4764","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Education, Special"
"JOURNAL OF SPECIAL EDUCATION TECHNOLOGY","0162-6434","2381-3121","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Rehabilitation | Education, Special"
"JOURNAL OF SPECIALISED TRANSLATION","1740-357X","1740-357X","ROEHAMPTON UNIV SCH ARTS","DIGBY STUART COLL, ROEHAMPTON LA, LONDON, ENGLAND, SW15 5PH","English, French, German, Italian, Spanish","Linguistics"
"JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH","1092-4388","1558-9102","AMER SPEECH-LANGUAGE-HEARING ASSOC","2200 RESEARCH BLVD, #271, ROCKVILLE, USA, MD, 20850-3289","English","Rehabilitation | Linguistics"
"JOURNAL OF SPORT AND HEALTH SCIENCE","2095-2546","2213-2961","SHANGHAI UNIV SPORT","EDITORIAL BOARD, 650 QINGYUANHUAN RD, SHANGHAI, PEOPLES R CHINA, 200438","English","Hospitality, Leisure, Sport & Tourism"
"JOURNAL OF SPORT & EXERCISE PSYCHOLOGY","0895-2779","1543-2904","HUMAN KINETICS PUBL INC","1607 N MARKET ST, PO BOX 5076, CHAMPAIGN, USA, IL, 61820-2200","English","Hospitality, Leisure, Sport & Tourism | Psychology, Applied"
"JOURNAL OF SPORT MANAGEMENT","0888-4773","1543-270X","HUMAN KINETICS PUBL INC","1607 N MARKET ST, PO BOX 5076, CHAMPAIGN, USA, IL, 61820-2200","English","Hospitality, Leisure, Sport & Tourism | Management"
"JOURNAL OF SPORTS ECONOMICS","1527-0025","1552-7794","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Hospitality, Leisure, Sport & Tourism | Economics"
"JOURNAL OF SPORT & SOCIAL ISSUES","0193-7235","1552-7638","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Sociology | Hospitality, Leisure, Sport & Tourism"
"JOURNAL OF STRATEGIC INFORMATION SYSTEMS","0963-8687","1873-1198","ELSEVIER","RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX","English","Management | Information Science & Library Science"
"JOURNAL OF STRATEGIC STUDIES","0140-2390","1743-937X","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Political Science | International Relations"
"JOURNAL OF STUDIES IN INTERNATIONAL EDUCATION","1028-3153","1552-7808","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Education & Educational Research"
"JOURNAL OF STUDIES ON ALCOHOL AND DRUGS","1937-1888","1938-4114","ALCOHOL RES DOCUMENTATION INC CENT ALCOHOL STUD RUTGERS UNIV","C/O DEIRDRE ENGLISH, 607 ALLISON RD, PISCATAWAY, USA, NJ, 08854-8001","English","Substance Abuse"
"JOURNAL OF SUBSTANCE ABUSE TREATMENT","0740-5472","1873-6483","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB","English","Psychology, Clinical | Substance Abuse"
